,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
6414,Acura,Legend,1993,0,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,23,15,204,2000
6417,Acura,Legend,1993,0,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,23,16,204,2000
6418,Acura,Legend,1993,0,230,6,MANUAL,front wheel drive,2,"Luxury,Performance",Midsize,Coupe,23,15,204,2000
6420,Acura,Legend,1994,0,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,23,16,204,2028
6421,Acura,Legend,1994,0,200,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,17,204,2063
6422,Acura,Legend,1994,0,230,6,MANUAL,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,16,204,2066
6429,Acura,Legend,1995,0,230,6,MANUAL,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,16,204,2066
6428,Acura,Legend,1995,0,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,23,16,204,2135
6427,Acura,Legend,1995,0,200,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,17,204,2144
6419,Acura,Legend,1994,0,230,6,MANUAL,front wheel drive,2,"Luxury,Performance",Midsize,Coupe,24,16,204,2181
6426,Acura,Legend,1995,0,230,6,MANUAL,front wheel drive,2,"Luxury,Performance",Midsize,Coupe,24,16,204,2265
6761,Acura,MDX,2015,0,290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,20,204,42565
6766,Acura,MDX,2016,0,290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,43015
6788,Acura,MDX,2017,0,290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,43950
6758,Acura,MDX,2015,0,290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,18,204,44565
6771,Acura,MDX,2016,0,290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,18,204,45015
6790,Acura,MDX,2017,0,290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,18,204,45950
6772,Acura,MDX,2016,0,290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,20,204,53230
6791,Acura,MDX,2017,0,290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,20,204,54400
6770,Acura,MDX,2016,0,290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,19,204,55230
6782,Acura,MDX,2017,0,290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,19,204,56400
7259,Acura,NSX,2004,0,290,6,MANUAL,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,Coupe,22,16,204,89000
7260,Acura,NSX,2004,0,252,6,AUTOMATIC,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,Coupe,22,16,204,89000
7261,Acura,NSX,2005,0,290,6,MANUAL,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,Coupe,22,16,204,89000
7262,Acura,NSX,2005,0,252,6,AUTOMATIC,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,Coupe,22,16,204,89000
7263,Acura,NSX,2017,0,573,6,AUTOMATED_MANUAL,all wheel drive,2,"Exotic,Luxury,High-Performance,Hybrid",Compact,Coupe,22,21,204,156000
8421,Acura,RDX,2015,0,273,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,20,204,35095
8426,Acura,RDX,2016,0,279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,29,20,204,35370
8441,Acura,RDX,2017,0,279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,20,204,35570
8418,Acura,RDX,2015,0,273,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,36495
8423,Acura,RDX,2016,0,279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,19,204,36870
8437,Acura,RDX,2017,0,279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,37070
8538,Acura,RL,2010,0,300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,204,46830
8542,Acura,RL,2011,0,300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,204,47200
8543,Acura,RL,2012,0,300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,204,48200
8549,Acura,RLX,2015,0,310,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,204,48450
8556,Acura,RLX,2016,0,310,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,204,50950
8557,Acura,RLX,2017,0,310,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,204,54450
8553,Acura,RLX,2016,0,377,6,AUTOMATED_MANUAL,all wheel drive,4,"Luxury,High-Performance,Hybrid",Midsize,Sedan,32,28,204,59950
8645,Acura,RSX,2004,0,160,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,30,24,204,20025
8649,Acura,RSX,2005,0,160,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,31,24,204,20275
8654,Acura,RSX,2006,0,155,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,31,24,204,20325
8647,Acura,RSX,2004,0,160,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,31,22,204,20925
8651,Acura,RSX,2005,0,160,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,31,22,204,21175
8657,Acura,RSX,2006,0,155,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,31,22,204,21225
8648,Acura,RSX,2004,0,200,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,28,21,204,23320
8653,Acura,RSX,2005,0,210,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,28,20,204,23670
8656,Acura,RSX,2006,0,201,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,28,20,204,23845
9695,Acura,SLX,1997,0,190,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,17,13,204,2397
9697,Acura,SLX,1998,0,215,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,18,13,204,2816
9698,Acura,SLX,1999,0,215,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,18,13,204,2934
10470,Acura,TL,2012,0,280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,29,20,204,35705
10479,Acura,TL,2013,0,280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,29,20,204,35905
10482,Acura,TL,2014,0,280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,29,20,204,36030
10480,Acura,TL,2013,0,280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,204,37405
10481,Acura,TL,2014,0,280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,204,37530
10468,Acura,TL,2012,0,305,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,18,204,39255
10475,Acura,TL,2013,0,305,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,18,204,39455
10484,Acura,TL,2014,0,305,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,18,204,39580
10467,Acura,TL,2012,0,280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,204,41635
10471,Acura,TL,2012,0,305,6,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,25,17,204,42985
10476,Acura,TL,2013,0,305,6,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,25,17,204,43185
10483,Acura,TL,2014,0,305,6,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,25,17,204,43310
10494,Acura,TLX,2015,0,206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,35,24,204,31445
10502,Acura,TLX,2016,0,206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,35,24,204,31695
10506,Acura,TLX,2017,0,206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,35,24,204,31900
10495,Acura,TLX,2015,0,290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,34,21,204,35320
10497,Acura,TLX,2016,0,290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,34,21,204,35320
10509,Acura,TLX,2017,0,290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,34,21,204,35350
10489,Acura,TLX,2015,0,290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,21,204,41575
10496,Acura,TLX,2016,0,290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,21,204,41575
10507,Acura,TLX,2017,0,290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,21,204,41600
10875,Acura,TSX,2012,0,201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,30010
10881,Acura,TSX,2013,0,201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,30510
10887,Acura,TSX,2014,0,201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,30635
10880,Acura,TSX,2012,0,201,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,29,21,204,31010
10883,Acura,TSX,2013,0,201,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,29,21,204,31510
10886,Acura,TSX,2014,0,201,4,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,29,21,204,31635
10876,Acura,TSX,2012,0,280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,28,19,204,35550
10885,Acura,TSX,2013,0,280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,28,19,204,39150
10888,Acura,TSX,2014,0,280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,28,19,204,39275
10870,Acura,TSX Sport Wagon,2012,0,201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,30,22,204,31360
10872,Acura,TSX Sport Wagon,2013,0,201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,30,22,204,31860
10874,Acura,TSX Sport Wagon,2014,0,201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,30,22,204,31985
11374,Acura,Vigor,1992,0,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,18,204,2000
11376,Acura,Vigor,1993,0,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,18,204,2000
11378,Acura,Vigor,1994,0,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,18,204,2000
11906,Acura,ZDX,2011,0,300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,204,46020
11909,Acura,ZDX,2012,0,300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,204,46120
11912,Acura,ZDX,2013,0,300,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,204,50920
476,Alfa Romeo,4C,2015,0,237,4,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,34,24,113,53900
477,Alfa Romeo,4C,2016,0,237,4,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,34,24,113,55900
474,Alfa Romeo,4C,2015,0,237,4,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,34,24,113,63900
478,Alfa Romeo,4C,2016,0,237,4,AUTOMATED_MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,34,24,113,65900
3523,Aston Martin,DB7,2003,0,420,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,10,259,141800
3521,Aston Martin,DB7,2003,0,420,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,17,10,259,151800
3520,Aston Martin,DB7,2003,0,420,12,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Compact,Coupe,18,11,259,156300
3522,Aston Martin,DB7,2003,0,435,12,MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Compact,Coupe,15,9,259,156300
3528,Aston Martin,DB9,2013,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,183700
3530,Aston Martin,DB9,2014,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,185800
3532,Aston Martin,DB9,2015,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,188295
3527,Aston Martin,DB9,2013,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,19,13,259,198700
3529,Aston Martin,DB9,2014,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,19,13,259,200800
3533,Aston Martin,DB9,2015,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,19,13,259,203295
3526,Aston Martin,DB9 GT,2016,0,540,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,198250
3525,Aston Martin,DB9 GT,2016,0,540,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,19,13,259,213250
3538,Aston Martin,DBS,2010,0,510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,17,11,259,266000
3540,Aston Martin,DBS,2011,0,510,12,MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Midsize,Coupe,17,11,259,268660
3537,Aston Martin,DBS,2010,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,18,12,259,270400
3541,Aston Martin,DBS,2011,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Midsize,Coupe,18,12,259,273104
3550,Aston Martin,DBS,2012,0,510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,17,11,259,275461
3544,Aston Martin,DBS,2012,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,18,12,259,275861
3536,Aston Martin,DBS,2010,0,510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,17,11,259,279500
3539,Aston Martin,DBS,2011,0,510,12,MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Midsize,Convertible,17,11,259,282295
3535,Aston Martin,DBS,2010,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,18,12,259,283900
3542,Aston Martin,DBS,2011,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Midsize,Convertible,18,12,259,286739
3547,Aston Martin,DBS,2012,0,510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,17,11,259,290461
3549,Aston Martin,DBS,2012,0,510,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,18,12,259,290861
8369,Aston Martin,Rapide,2010,0,470,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,19,13,259,197850
8370,Aston Martin,Rapide,2011,0,470,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,19,13,259,207895
8372,Aston Martin,Rapide,2012,0,470,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,19,13,259,207895
8366,Aston Martin,Rapide S,2014,0,550,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,19,13,259,198250
8367,Aston Martin,Rapide S,2015,0,552,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,22,14,259,203995
8368,Aston Martin,Rapide S,2016,0,552,12,AUTOMATIC,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,22,14,259,206000
11092,Aston Martin,V12 Vanquish,2004,0,460,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,18,11,259,234260
11093,Aston Martin,V12 Vanquish,2005,0,460,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,16,10,259,234260
11094,Aston Martin,V12 Vanquish,2005,0,520,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Compact,Coupe,16,10,259,255000
11095,Aston Martin,V12 Vanquish,2006,0,520,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,High-Performance",Compact,Coupe,16,10,259,260000
11100,Aston Martin,V12 Vantage,2011,0,510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,11,259,180535
11101,Aston Martin,V12 Vantage,2012,0,510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,11,259,180535
11096,Aston Martin,V12 Vantage S,2015,0,565,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,18,12,259,182395
11098,Aston Martin,V12 Vantage S,2016,0,565,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,18,12,259,183695
11097,Aston Martin,V12 Vantage S,2016,0,565,12,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,18,12,259,198195
11156,Aston Martin,V8 Vantage,2015,0,430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,98200
11168,Aston Martin,V8 Vantage,2016,0,430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,103300
11158,Aston Martin,V8 Vantage,2015,0,430,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,21,14,259,103900
11175,Aston Martin,V8 Vantage,2016,0,430,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,21,14,259,109000
11161,Aston Martin,V8 Vantage,2015,0,430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,19,13,259,112700
11150,Aston Martin,V8 Vantage,2014,0,420,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,116700
11170,Aston Martin,V8 Vantage,2016,0,430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,19,13,259,117800
11164,Aston Martin,V8 Vantage,2015,0,430,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,21,14,259,118400
11149,Aston Martin,V8 Vantage,2014,0,420,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,21,14,259,122400
11177,Aston Martin,V8 Vantage,2016,0,430,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,21,14,259,123500
11148,Aston Martin,V8 Vantage,2014,0,430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,130700
11147,Aston Martin,V8 Vantage,2014,0,420,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,19,13,259,131200
11152,Aston Martin,V8 Vantage,2014,0,430,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,21,14,259,136400
11151,Aston Martin,V8 Vantage,2014,0,420,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,21,14,259,136900
11146,Aston Martin,V8 Vantage,2014,0,430,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,19,13,259,145200
11153,Aston Martin,V8 Vantage,2014,0,430,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,21,14,259,150900
11207,Aston Martin,Vanquish,2014,0,565,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,19,13,259,278295
11209,Aston Martin,Vanquish,2015,0,568,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,21,13,259,283695
11210,Aston Martin,Vanquish,2016,0,568,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,21,13,259,287650
11206,Aston Martin,Vanquish,2014,0,565,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,19,13,259,296295
11208,Aston Martin,Vanquish,2015,0,568,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,21,13,259,301695
11211,Aston Martin,Vanquish,2016,0,568,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,21,13,259,305650
11394,Aston Martin,Virage,2012,0,490,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Coupe,18,13,259,208295
11395,Aston Martin,Virage,2012,0,490,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,18,13,259,223295
766,Audi,80,1990,0,108,4,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,28,19,3105,2000
767,Audi,80,1990,0,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105,2000
768,Audi,80,1991,0,130,5,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
769,Audi,80,1991,0,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105,2000
770,Audi,80,1992,0,130,5,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
771,Audi,80,1992,0,130,5,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,16,3105,2000
911,Audi,90,1993,0,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,20,15,3105,2000
912,Audi,90,1993,0,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
914,Audi,90,1994,0,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,22,17,3105,2000
915,Audi,90,1994,0,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,18,3105,2000
917,Audi,90,1995,0,172,6,MANUAL,all wheel drive,4,Luxury,Compact,Sedan,23,17,3105,2000
918,Audi,90,1995,0,172,6,MANUAL,front wheel drive,4,Luxury,Compact,Sedan,24,17,3105,2000
17,Audi,100,1992,0,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105,2000
19,Audi,100,1992,0,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20,16,3105,2000
21,Audi,100,1992,0,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16,3105,2000
22,Audi,100,1993,0,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105,2000
